arxiv_id,title,date,abstract
2510.06099,Quantum Strategies to Overcome Classical Multiplexing Limits,2025-10-07T16:30:27Z,"Near-term quantum networks face a bottleneck due to low quantum communication rates. This degrades performance both by lowering operating speeds and increasing qubit storage time in noisy memories, making some quantum internet applications infeasible. One way to circumvent this bottleneck is multiplexing: combining multiple signals into a single signal to improve the overall rate. Standard multiplexing techniques are classical in that they do not make use of coherence between quantum channels nor account for decoherence rates that vary during a protocol's execution. In this paper, we first derive semiclassical limits to multiplexing for many-qubit protocols, and then introduce new techniques: quantum multiplexing and multi-server multiplexing. These can enable beyond-classical multiplexing advantages. We illustrate these techniques through three example applications: 1) entanglement generation between two asymetric quantum network nodes (i.e., repeaters or quantum servers with inequal memories), 2) remote state preparation between many end user devices and a single quantum node, and 3) remote state preparation between one end user device and many internetworked quantum nodes. By utilizing many noisy internetworked quantum devices instead of fewer low-noise devices, our multiplexing strategies enable new paths towards achieving high-speed many-qubit quantum network applications."
2510.06097,On the Quantum Equivalence between $S|LWE\rangle$ and $ISIS$,2025-10-07T16:25:47Z,"Chen, Liu, and Zhandry [CLZ22] introduced the problems $S|LWE\rangle$ and $C|LWE\rangle$ as quantum analogues of the Learning with Errors problem, designed to construct quantum algorithms for the Inhomogeneous Short Integer Solution ($ISIS$) problem. Several later works have used this framework for constructing new quantum algorithms in specific cases. However, the general relation between all these problems is still unknown. In this paper, we investigate the equivalence between $S|LWE\rangle$ and $ISIS$. We present the first fully generic reduction from $ISIS$ to $S|LWE\rangle$, valid even in the presence of errors in the underlying algorithms. We then explore the reverse direction, introducing an inhomogeneous variant of $C|LWE\rangle$, denoted $IC|LWE\rangle$, and show that $IC|LWE\rangle$ reduces to $S|LWE\rangle$. Finally, we prove that, under certain recoverability conditions, an algorithm for $ISIS$ can be transformed into one for $S|LWE\rangle$. We instantiate this reverse reduction by tweaking a known algorithm for $(I)SIS_\infty$ in order to construct quantum algorithm for $S|LWE\rangle$ when the alphabet size q is a small power of 2, recovering some results of Bai et al. [BJK+ 25]. Our results thus clarify the landscape of reductions between $S|LWE\rangle$ and $ISIS$, and we show both their strong connection as well as the remaining barriers for showing full equivalence."
2510.06094,Noise-induced decoherence-free zones for anyons,2025-10-07T16:21:57Z,"We develop a stochastic framework for anyonic systems in which the exchange phase is promoted from a fixed parameter to a fluctuating quantity. Starting from the Stratonovich stochastic Liouville equation, we perform the Stratonovich--It\^o conversion to obtain a Lindblad master equation that ties the dissipator directly to the distorted anyon algebra. This construction produces a statistics--dependent dephasing channel, with rates determined by the eigenstructure of the real symmetric correlation matrix $D_{ab}$. The eigenvectors of $D$ select which collective exchange currents -- equivalently, which irreducible representations of the system -- are protected from stochastic dephasing, providing a natural mechanism for decoherence-free subspaces and noise-induced exceptional points. The key result of our analysis is the universality of the optimal statistical angle: in the minimal two-site model with balanced gain and loss, the protected mode always minimizes its dephasing at $\theta^\star = \pi/2$, independent of the specific form of $D$. This robustness highlights a simple design rule for optimizing coherence in noisy anyonic systems, with direct implications for ultracold atomic realizations and other emerging platforms for fractional statistics."
2510.06086,Identifying chiral topological order in microscopic spin models by   modular commutator,2025-10-07T16:12:33Z,"The chiral central charge $c_-$ is a key topological invariant of the edge characterizing the bulk two-dimensional chiral topological order, but its direct evaluation in microscopic spin models has long been a challenge, especially for non-abelian topological order. Building on the recently developed modular commutator formalism, we numerically obtain $c_-$ directly from single ground-state wave functions of two-dimensional interacting spin models that have chiral topological order. This provides a geometry-independent and bulk diagnostic of chirality. We study two nonintegrable systems -- the Zeeman-Kitaev honeycomb model and the kagome antiferromagnet -- both subjected to scalar spin chirality perturbations. We find that the modular commutator yields results consistent with the expected topological quantum field theories. We also compute the topological entanglement entropy which provides an independent diagnostic of the topological orders. Our work establishes modular commutators as a powerful numerical probe of chiral topological order in strongly correlated quantum magnets."
2510.06076,Universal super-resolution framework for imaging of quantum dots,2025-10-07T16:01:41Z,"We present a universal deep-learning method that reconstructs super-resolved images of quantum emitters from a single camera frame measurement. Trained on physics-based synthetic data spanning diverse point-spread functions, aberrations, and noise, the network generalizes across experimental conditions without system-specific retraining. We validate the approach on low- and high-density In(Ga)As quantum dots and strain-induced dots in 2D monolayer WSe$_2$, resolving overlapping emitters even under low signal-to-noise and inhomogeneous backgrounds. By eliminating calibration and iterative acquisitions, this single-shot strategy enables rapid, robust super-resolution for nanoscale characterization and quantum photonic device fabrication."
2510.06053,Quantum Annealing for Realistic Traffic Flow Optimization: Clustering   and Data-Driven QUBO,2025-10-07T15:46:49Z,"Managing city traffic is a complex NP-hard problem where traditional methods often fail to scale. We present a data-driven approach that reformulates traffic optimization as a Quadratic Unconstrained Binary Optimization, capturing both congestion reduction and travel-time efficiency. The model integrates simulated realistic mobility data, multiple routing alternatives, and analytically derived penalty constraints. To address large networks, we apply Leiden clustering to preserve critical congestion patterns while reducing problem size. Benchmarking on up to 25,000 vehicles shows that hybrid quantum annealing achieves near-optimal solutions within 1% of the classical solver Gurobi while reducing congestion by up to 25%."
2510.06027,Fermionic versus Spin Baths in non-Interacting Transport Models,2025-10-07T15:24:15Z,"We investigate how fermionic anticommutation shapes transport in a noninteracting resonant-level model where a single central site is coupled to an environment. To this end, we compare a fermionic reservoir with a bath of spin-half modes using exact diagonalization and a perturbative expansion of the master equation to identify the differences. Notably, we find different reduced dynamics for the spin and fermionic baths even though the particles remain noninteracting and both models enforce local Pauli blocking. These differences originate from higher-order terms in the system-bath coupling, where fermionic anticommutation introduces exchange signs in higher-order correlations. By contrast, all second-order contributions, set solely by two-point correlators, coincide. Deviations are largest for small to intermediate bath sizes, fading in the effectively Markovian regime where higher-order corrections are negligible. These results identify when spin baths can be a substitute for fermionic reservoirs and vice versa."
2510.06016,Angular--Momentum--Resolved Aharonov--Bohm Coupling Energy,2025-10-07T15:12:48Z,"The Aharonov--Bohm (AB) effect is conventionally interpreted as a phase shift acquired by charged particles encircling a flux, with no fields acting locally along their paths. Here we show that a confined Dirac electron exhibits a distinct AB \emph{coupling energy} arising from a \emph{local current--potential interaction}, whose form depends on the chosen prescription. In the \emph{wave--particle} (WP) prescription the response is confined to the flux core: only the $l=0$ mode leaves a finite remnant as the core shrinks, while all higher modes vanish. In the \emph{wave--entity} (WE) prescription the $l=0$ result coincides with WP, but for $l\!\ge\!1$ the response becomes a quantized, $l$--linear energy shift. The AB effect thereby emerges as a quantized, mode--resolved energy law that establishes locality through standard field coupling and distinguishes between electron prescriptions."
2510.06010,Hybrid Quantum-Classical Policy Gradient for Adaptive Control of   Cyber-Physical Systems: A Comparative Study of VQC vs. MLP,2025-10-07T15:09:29Z,"The comparative evaluation between classical and quantum reinforcement learning (QRL) paradigms was conducted to investigate their convergence behavior, robustness under observational noise, and computational efficiency in a benchmark control environment. The study employed a multilayer perceptron (MLP) agent as a classical baseline and a parameterized variational quantum circuit (VQC) as a quantum counterpart, both trained on the CartPole-v1 environment over 500 episodes. Empirical results demonstrated that the classical MLP achieved near-optimal policy convergence with a mean return of 498.7 +/- 3.2, maintaining stable equilibrium throughout training. In contrast, the VQC exhibited limited learning capability, with an average return of 14.6 +/- 4.8, primarily constrained by circuit depth and qubit connectivity. Noise robustness analysis further revealed that the MLP policy deteriorated gracefully under Gaussian perturbations, while the VQC displayed higher sensitivity at equivalent noise levels. Despite the lower asymptotic performance, the VQC exhibited significantly lower parameter count and marginally increased training time, highlighting its potential scalability for low-resource quantum processors. The results suggest that while classical neural policies remain dominant in current control benchmarks, quantum-enhanced architectures could offer promising efficiency advantages once hardware noise and expressivity limitations are mitigated."
2510.05905,Fast and Robust Non-Adiabatic Holonomic Gates for Qutrit Systems,2025-10-07T13:17:21Z,"Motivated by shortcuts to adiabaticity, we develop a framework that combines inverse engineering with time-dependent perturbation theory to implement non-adiabatic holonomic quantum computing (NHQC) in qutrit systems under realistic error sources. We derive analytical conditions that suppress second-order Rabi errors through tailored pulse parameters and eliminate detuning errors via a compensation pulse. Our analysis reveals the cancellation from the compensation pulse, which ensures robust gate operations. The proposed approach, broadly applicable to superconducting qubits, trapped ions, and atom-based platforms, provides a pathway to fast and error-resilient holonomic gates, potentially for scalable quantum computing."
2510.05897,Hybrid quantum-classical analog simulation of two-dimensional   Fermi-Hubbard models with neutral atoms,2025-10-07T13:06:41Z,"We experimentally study the two-dimensional Fermi-Hubbard model using a Rydberg-based quantum processing unit in the analog mode. Our approach avoids encoding directly the original fermions into qubits and instead relies on reformulating the original model onto a system of fermions coupled to spins and then decoupling them in a self-consistent manner. We then introduce the auxiliary spin solver: this hybrid quantum-classical algorithm handles a free-fermion problem, which can be solved efficiently with a few classical resources, and an interacting spin problem, which can be naturally encoded in the analog quantum computer. This algorithm can be used to study both the equilibrium Mott transition as well as non-equilibrium properties of the original Fermi-Hubbard model, highlighting the potential of quantum-classical hybrid approaches to study strongly correlated matter."
2510.05890,Learning stabilizer structure of quantum states,2025-10-07T13:01:43Z,"We consider the task of learning a structured stabilizer decomposition of an arbitrary $n$-qubit quantum state $|\psi\rangle$: for $\varepsilon > 0$, output a state $|\phi\rangle$ with stabilizer-rank $\textsf{poly}(1/\varepsilon)$ such that $|\psi\rangle=|\phi\rangle+|\phi'\rangle$ where $|\phi'\rangle$ has stabilizer fidelity $< \varepsilon$. We firstly show the existence of such decompositions using the recently established inverse theorem for the Gowers-$3$ norm of states [AD,STOC'25].   To learn this structure, we initiate the task of self-correction of a state $|\psi\rangle$ with respect to a class of states $\textsf{C}$: given copies of $|\psi\rangle$ which has fidelity $\geq \tau$ with a state in $\textsf{C}$, output $|\phi\rangle \in \textsf{C}$ with fidelity $|\langle \phi | \psi \rangle|^2 \geq \tau^C$ for a constant $C>1$. Assuming the algorithmic polynomial Frieman-Rusza (APFR) conjecture (whose combinatorial version was recently resolved [GGMT,Annals of Math.'25], we give a polynomial-time algorithm for self-correction of stabilizer states. Given access to the state preparation unitary $U_\psi$ for $|\psi\rangle$ and its controlled version $cU_\psi$, we give a polynomial-time protocol that learns a structured decomposition of $|\psi\rangle$. Without assuming APFR, we give a quasipolynomial-time protocol for the same task.   As our main application, we give learning algorithms for states $|\psi\rangle$ promised to have stabilizer extent $\xi$, given access to $U_\psi$ and $cU_\psi$. We give a protocol that outputs $|\phi\rangle$ which is constant-close to $|\psi\rangle$ in time $\textsf{poly}(n,\xi^{\log \xi})$, which can be improved to polynomial-time assuming APFR. This gives an unconditional learning algorithm for stabilizer-rank $k$ states in time $\textsf{poly}(n,k^{k^2})$. As far as we know, learning arbitrary states with even stabilizer-rank $k \geq 2$ was unknown."
2510.05887,Full Eigenstate Thermalization in Integrable Spin Systems,2025-10-07T12:59:13Z,"The Eigenstate Thermalization Hypothesis(ETH) is a standard tool to understand the thermalization properties of an isolated quantum system. Its generalization to higher order correlations of matrix elements of local operators, dubbed the full ETH, predicts the decomposition of higher-order correlation function into thermal free cumulants. In this work, we numerically test these predictions of full ETH using exact diagonalization of two spin models: the Ising and the XXZ Heisenberg models. The differences from the behavior of full ETH prediction in chaotic systems are highlighted and contrasted along the way. We also show that although in these integrable spin models the dynamics of the four-time correlators, specifically the out-of-time-ordered correlator (OTOC), is encoded in the fourth order free cumulant, it exhibits late-time dynamics that is different from nonintegrable systems."
2510.05872,Entanglement dynamics and performance of two-qubit gates for   superconducting qubits under non-Markovian effects,2025-10-07T12:40:54Z,"Within a numerically exact simulation technique, the dissipative dynamics of a two-qubit architecture is considered in which each qubit couples to its individual noise source (reservoir). The goal is to reveal the role of subtle qubit-reservoir correlations including non-Markovian processes as a prerequisite to guide further improvements of quantum computing devices. This paper addresses the following three topics. First, we examine the validity of the rotating wave approximation imposed previously on the qubit-reservoir coupling with respect to the disentanglement dynamics. Second, generation of the entanglement as well as destruction are analyzed by monitoring the reduced dynamics during and after application of a $\sqrt{\mbox{iSWAP}^\dagger}$ gate, also focusing on memory effects caused by reservoirs. Finally, the performance of a Hadamard + CNOT sequence is analyzed for different gate decomposition schemes. In all three cases, various types of noise sources and qubit parameters are considered."
2510.05854,Dynamic Scheduling in Fiber and Spaceborne Quantum Repeater Networks,2025-10-07T12:23:46Z,"The problem of scheduling in quantum networks amounts to choosing which entanglement swapping operations to perform to better serve user demand. The choice can be carried out following a variety of criteria (e.g. ensuring all users are served equally vs. prioritizing specific critical applications, adopting heuristic or optimization-based algorithms...), requiring a method to compare different solutions and choose the most appropriate. We present a framework to mathematically formulate the scheduling problem over quantum networks and benchmark general quantum scheduling policies over arbitrary lossy quantum networks. By leveraging the framework, we apply Lyapunov drift minimization to derive a novel class of quadratic optimization based scheduling policies, which we then analyze and compare with a Max Weight inspired linear class. We then give an overview of the pre-existing fiber quantum simulation tools and report on the development of numerous extensions to QuISP, an established quantum network simulator focused on scalability and accuracy in modeling the underlying classical network infrastructure. To integrate satellite links in the discussion, we derive an analytical model for the entanglement distribution rates for satellite-to-ground and ground-satellite-ground links and discuss different quantum memory allocation policies for the dual link case. Our findings show that classical communication latency is a major limiting factor for satellite communication, and the effects of physical upper bounds such as the speed of light must be taken into account when designing quantum links, limiting the attainable rates to tens of kHz. We conclude by summarizing our findings and highlighting the challenges that still need to be overcome in order to study the quantum scheduling problem over fiber and satellite quantum networks. [Abridged abstract, see PDF for full version]"
2510.05853,Hayden--Preskill Model via Local Quenches,2025-10-07T12:23:12Z,"We model the Hayden--Preskill (HP) information recovery protocol in 2d CFTs via local joining quenches. Euclidean path integrals with slits prepare the HP subsystems: the message $M$, its reference $N$, the Page-time black hole $B$, the early radiation $E$, and the late radiation $R$; the remaining black hole after emitting $R$ is denoted as $B'$. The single-slit geometry provides an analytically tractable toy model, while the bounded-slit geometry more closely captures the HP setup. In the free Dirac fermion 2d CFT, the mutual information $I(N\!:\!B')$ shows quasi-particle dynamics with partial or full revivals, whereas that in holographic 2d CFTs, which are expected to be maximally chaotic, exhibit sharp transitions: in the bounded-slit case, when the size of the late radiation becomes comparable to that of the reference $N$, $I(N\!:\!B')$ does vanish at late time, otherwise it remains finite. This contrast between free CFTs and holographic CFTs gives a clear characterization of the HP recovery threshold."
2510.05851,Hybrid Sequential Quantum Computing,2025-10-07T12:15:43Z,"We introduce hybrid sequential quantum computing (HSQC), a paradigm for combinatorial optimization that systematically integrates classical and quantum methods within a structured, stage-wise workflow. HSQC may involve an arbitrary sequence of classical and quantum processes, as long as the global result outperforms the standalone components. Our testbed begins with classical optimizers to explore the solution landscape, followed by quantum optimization to refine candidate solutions, and concludes with classical solvers to recover nearby or exact-optimal states. We demonstrate two instantiations: (i) a pipeline combining simulated annealing (SA), bias-field digitized counterdiabatic quantum optimization (BF-DCQO), and memetic tabu search (MTS); and (ii) a variant combining SA, BF-DCQO, and a second round of SA. This workflow design is motivated by the complementary strengths of each component. Classical heuristics efficiently find low-energy configurations, but often get trapped in local minima. BF-DCQO exploits quantum resources to tunnel through these barriers and improve solution quality. Due to decoherence and approximations, BF-DCQO may not always yield optimal results. Thus, the best quantum-enhanced state is used to continue with a final classical refinement stage. Applied to challenging higher-order unconstrained binary optimization (HUBO) problems on a 156-qubit heavy-hexagonal superconducting quantum processor, we show that HSQC consistently recovers ground-state solutions in just a few seconds. Compared to standalone classical solvers, HSQC achieves a speedup of up to 700 times over SA and up to 9 times over MTS in estimated runtimes. These results demonstrate that HSQC provides a flexible and scalable framework capable of delivering up to two orders of magnitude improvement at runtime quantum-advantage level on advanced commercial quantum processors."
2510.05816,Optimal ancilla-free Clifford+T synthesis for general single-qubit   unitaries,2025-10-07T11:37:02Z,"We propose two Clifford+$T$ synthesis algorithms that are optimal with respect to $T$-count. The first algorithm, called deterministic synthesis, approximates any single-qubit unitary by a single-qubit Clifford+$T$ circuit with the minimum $T$-count. The second algorithm, called probabilistic synthesis, approximates any single-qubit unitary by a probabilistic mixture of single-qubit Clifford+$T$ circuits with the minimum $T$-count. For most of single-qubit unitaries, the runtimes of deterministic synthesis and probabilistic synthesis are $\varepsilon^{-1/2 - o(1)}$ and $\varepsilon^{-1/4 - o(1)}$, respectively, for an approximation error $\varepsilon$. Although this complexity is exponential in the input size, we demonstrate that our algorithms run in practical time at $\varepsilon \approx 10^{-15}$ and $\varepsilon \approx 10^{-22}$, respectively. Furthermore, we show that, for most single-qubit unitaries, the deterministic synthesis algorithm requires at most $3\log_2(1/\varepsilon) + o(\log_2(1/\varepsilon))$ $T$-gates, and the probabilistic synthesis algorithm requires at most $1.5\log_2(1/\varepsilon) + o(\log_2(1/\varepsilon))$ $T$-gates. Remarkably, complexity analyses in this work do not rely on any numerical or number-theoretic conjectures."
2510.05795,Efficient Post-Selection for General Quantum LDPC Codes,2025-10-07T11:11:50Z,"Post-selection strategies that discard low-confidence computational results can significantly improve the effective fidelity of quantum error correction at the cost of reduced acceptance rates, which can be particularly useful for offline resource state generation. Prior work has primarily relied on the ""logical gap"" metric with the minimum-weight perfect matching decoder, but this approach faces fundamental limitations including computational overhead that scales exponentially with the number of logical qubits and poor generalizability to arbitrary codes beyond surface codes. We develop post-selection strategies based on computationally efficient heuristic confidence metrics that leverage error cluster statistics (specifically, aggregated cluster sizes and log-likelihood ratios) from clustering-based decoders, which are applicable to arbitrary quantum low-density parity check (QLDPC) codes. We validate our method through extensive numerical simulations on surface codes, bivariate bicycle codes, and hypergraph product codes, demonstrating orders of magnitude reductions in logical error rates with moderate abort rates. For instance, applying our strategy to the $[[144, 12, 12]]$ bivariate bicycle code achieves approximately three orders of magnitude reduction in the logical error rate with an abort rate of only 1% (19%) at a physical error rate of 0.1% (0.3%). Additionally, we integrate our approach with the sliding-window framework for real-time decoding, featuring early mid-circuit abort decisions that eliminate unnecessary overheads. Notably, its performance matches or even surpasses the original strategy for global decoding, while exhibiting favorable scaling in the number of rounds. Our approach provides a practical foundation for efficient post-selection in fault-tolerant quantum computing with QLDPC codes."
